apol,ast_fraglike,ast_violation,ast_violation_ext,a_acc,a_aro,a_don,a_hyd,a_nN,a_nS,balabanJ,BCUT_PEOE_2,BCUT_SLOGP_2,BCUT_SLOGP_3,BCUT_SMR_2,b_double,b_max1len,b_rotR,chiral,chiral_u,diameter,GCUT_PEOE_3,GCUT_SLOGP_3,h_emd_C,h_logD,h_logP,h_logS,h_log_pbo,h_pavgQ,h_pKa,h_pKb,h_pstates,h_pstrain,lip_don,lip_druglike,lip_violation,logP(o/w),logS,mutagenic,opr_brigid,opr_leadlike,opr_violation,PEOE_PC-,PEOE_VSA+0,PEOE_VSA+1,PEOE_VSA+2,PEOE_VSA+3,PEOE_VSA+4,PEOE_VSA+5,PEOE_VSA+6,PEOE_VSA-0,PEOE_VSA-1,PEOE_VSA-2,PEOE_VSA-3,PEOE_VSA-4,PEOE_VSA-6,PEOE_VSA_FNEG,PEOE_VSA_FPOS,PEOE_VSA_NEG,radius,reactive,rsynth,SlogP,SlogP_VSA1,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,SMR_VSA1,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,VAdjEq,VAdjMa,VDistEq,vsa_don,weinerPath,Permeability
83.305344,0,3,5,8,9,8,22,5,0,1.6362681,0.53741521,0.65240246,2.7097497,0.70168763,5,4,0.39024389,4,0,18,2.9397235,2.8852603,10.284431,0.68272692,1.5040855,-4.3689575,9.5673418,-1.2004764,4.9126945,9.9506302,1.7560912,7.8528819,7,0,3,1.34,-4.0000601,0,15,0,4,-2.7879169,191.91048,59.869095,45.545883,3.1459606,12.949531,25.899061,29.416998,0,0,44.876331,0,17.047728,0,0.26030049,0.73969954,129.75867,9,0,0.17948718,0.99377,34.391594,69.21003,7.5963712,18.868406,0,92.504196,94.342026,66.652031,3.1243138,19.113449,37.614288,200.99753,49.706856,66.652031,0.30278754,6.3575521,3.9184258,17.047728,5356,-6.29
108.16844,0,3,5,13,9,12,28,5,0,1.6746145,0.60420287,0.60034645,2.8227162,0.73467833,5,11,0.46153846,8,2,23,3.0379746,2.9820416,10.599081,1.8772458,2.2834296,-5.9948783,9.5081491,-1.7002516,4.9385586,9.7878542,1.9344653,7.6067181,11,0,3,1.725,-6.1912599,0,16,0,4,-3.5642262,268.74442,35.529831,22.100416,6.6995511,46.783607,38.848595,29.416998,94.850967,0,44.876331,11.365152,52.065914,2.503756,0.28753689,0.71246308,180.85429,12,1,0.31999999,0.41126999,31.267279,50.770454,3.185575,18.868406,0,92.504196,207.55246,33.326015,76.155678,47.045898,37.614288,314.20795,31.267279,33.326015,0.24958064,6.7004399,4.2614136,17.047728,10934,-6.9
63.634171,0,3,5,7,0,9,12,7,0,4.8196979,0.44853252,0.38186482,2.6921175,0.61235249,5,5,0.60714287,3,0,16,2.7868803,2.7184875,7.0365582,-4.3971033,-1.8567957,-1.0491643,5.2320094,0.57252139,10.267947,6.8744807,2.010112,12.890041,11,0,2,-1.2460001,-2.26863,0,0,0,3,-2.3410699,124.25941,15.808495,20.299505,20.098654,0,54.530167,14.708499,0,0,84.53688,0,17.047728,0,0.38429192,0.61570805,155.85229,8,0,0.10344828,-2.05723,25.420908,43.824806,4.4107962,0,0,31.671967,94.342026,66.652031,0,11.945906,98.691559,94.342026,43.860485,66.652031,0.35305744,5.8073549,3.7442496,52.532707,2588,-5.57
35.968273,0,1,2,4,0,3,9,2,0,2.0043054,0.51198506,0.50051445,2.7346778,0.62139326,2,2,0.17647059,3,0,7,2.6813281,2.628392,4.9794412,-1.0847696,-0.23694806,-1.2320276,1.9678856,-0.1891339,7.6285005,9.8686523,1.6450633,4.7798066,2,1,0,0.39199999,-0.72643,0,10,1,0,-1.2117546,79.042473,28.830278,26.591427,0,12.949531,0,14.708499,0,0,13.566921,0,5.6825762,0,0.22245614,0.77754384,46.383339,4,0,0,0.059999999,16.128561,62.264381,4.4107962,0,0,0,56.605217,33.326015,3.1243138,7.9639373,0,56.605217,49.883404,33.326015,0.56510133,5.0874629,2.7113898,0,420,-5.72
49.103859,0,3,5,5,9,6,13,4,0,1.8101689,0.57963938,0.68121117,2.5456827,0.73666948,3,4,0.36000001,2,0,13,2.6046286,2.6006866,4.9429855,-0.72873968,-0.057105549,-2.1027923,7.5994039,-0.24870278,7.4777012,9.9517221,1.770987,4.713439,7,1,1,-0.37400001,-1.93183,0,10,1,1,-1.6462951,83.459549,58.616047,0,13.399102,0,25.899061,14.708499,0,0,49.051899,0,11.365152,0,0.34023482,0.65976518,101.11781,7,0,0.33333334,-0.12743001,18.263031,25.385227,3.185575,18.868406,0,92.504196,37.736813,0,0,11.149512,70.511475,144.3923,18.263031,0,0.42571631,5.643856,3.4966586,29.107641,1482,-7.41
108.58562,0,4,6,7,11,6,31,5,0,1.8258992,0.56601429,0.54921454,2.8961372,0.68144006,3,7,0.41666666,5,0,16,3.1747868,3.1600645,12.238206,5.2697873,5.3296685,-6.7854362,8.7057724,0.16667932,14,7.6989303,2.6164899,0.82023674,5,0,2,4.3319998,-7.6339698,0,17,0,3,-2.8369865,262.11877,38.31654,60.898518,55.267151,8.458519,25.899061,19.199511,81.251015,0,0,0,57.748489,0.13689101,0.26415014,0.73584986,168.77399,8,0,0.19565217,4.1382399,37.744049,0,14.763915,70.633995,0,122.21581,132.07884,190.49229,70.680298,30.825527,0,292.03146,17.834204,199.52727,0.26638746,6.5849624,3.8660161,11.365152,7782,-5.77
55.87941,0,3,5,9,0,7,13,3,0,1.6528651,0.65822142,0.52030933,2.6777458,0.74699312,2,2,0.20689656,8,8,13,2.903923,2.7690935,9.2082386,-3.6371105,-3.0195324,0.061729662,2.0264828,0.75891531,14,6.5019765,1.737291,0.84810817,7,0,2,-3.8870001,0.34086999,0,16,0,3,-2.674931,31.616989,36.108002,20.299505,37.015694,51.925045,27.65803,0,0,0,0,13.566921,65.632835,2.503756,0.34721223,0.6527878,108.83736,7,1,0.48148149,-4.3836999,13.641881,57.805416,0,0,0,0,56.605217,0,130.05045,46.347004,0,56.605217,68.322983,0,0.40063059,5.8579812,3.4442399,5.6825762,1846,-5.55
65.837448,0,3,4,3,21,4,24,2,0,1.1487041,0.63135374,0.72760952,2.6314206,0.78072965,2,3,0.22222222,1,1,15,2.7158356,2.8062482,6.6562672,4.1061034,4.1960149,-5.9264312,13.134931,-0.99883062,4.0684643,14,1.0091047,4.0248756,3,1,0,5.0409999,-6.2077498,0,25,0,2,-1.4221814,67.651054,45.01609,0,22.058474,6.6995511,0,33.908009,135.30211,0,13.566921,0,24.932074,0,0.51990473,0.4800953,189.87178,8,0,0.6875,4.70227,15.0621,46.311485,9.5567245,18.868406,4.4107962,240.02081,0,23.862217,0,17.94949,11.088251,247.80098,35.988361,0,0.36708876,6.1699252,3.7343848,11.365152,3150,-4.76
52.67141,0,2,4,5,0,3,13,3,0,2.0564439,0.4534032,0.42824456,2.7254181,0.57154399,3,4,0.29166666,4,0,11,2.8642244,2.8112881,7.7978282,-0.3073273,0.57644862,-2.2852747,2.9813964,-0.17229137,7.6771035,9.8141022,1.6054088,4.9018054,3,1,0,0.70899999,-1.7616301,0,10,1,0,-1.6940696,140.06792,0,40.59901,20.098654,0,25.899061,14.708499,0,0,31.30941,0,0,0,0.22978304,0.77021694,72.01017,6,0,0,0.42640001,24.51166,62.264381,4.4107962,0,0,0,94.342026,66.652031,6.2486277,11.945906,32.897186,94.342026,55.142189,66.652031,0.43892586,5.5849624,3.2314291,0,1175,-4.83
