apol,a_aro,a_don,a_donacc,a_hyd,a_nO,balabanJ,BCUT_SLOGP_2,b_1rotN,b_max1len,chi1v_C,chi1_C,chiral,diameter,GCUT_PEOE_3,h_emd,h_emd_C,h_logD,h_logP,h_logS,h_log_pbo,h_pavgQ,h_pKa,h_pKb,h_pstates,h_pstrain,Kier3,KierFlex,lip_violation,logP(o/w),logS,opr_brigid,opr_nring,opr_nrot,opr_violation,PEOE_PC-,PEOE_VSA+0,PEOE_VSA+1,PEOE_VSA+2,PEOE_VSA+3,PEOE_VSA+4,PEOE_VSA+6,PEOE_VSA-0,PEOE_VSA-2,PEOE_VSA-4,PEOE_VSA-6,PEOE_VSA_NEG,PEOE_VSA_PNEG,PEOE_VSA_POS,petitjeanSC,radius,reactive,SlogP,SlogP_VSA0,SlogP_VSA1,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA8,SlogP_VSA9,SMR_VSA1,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,VAdjMa,VDistEq,vsa_don,weinerPath,Permeability
172.68016,0,3,13,43,11,2.2407062,0.33763075,16,5,17.258593,17.737865,10,21,3.4969482,35.605228,27.922186,7.4514637,7.4514637,-10.640297,10.075611,0,14,14,1,0,19.074394,19.399517,2,4.8889999,-10.62838,31,2,29,3,-5.5375843,506.22055,29.408449,176.19685,62.054928,19.649082,0,0,0,17.047728,0,155.22069,155.22069,911.83459,0.75,12,1,2.9463999,54.032253,73.820396,36.879158,22.05398,131.58875,169.81564,433.23819,18.745884,76.086235,42.306366,0,169.81564,91.953674,564.82697,7.2288189,4.1581292,17.047728,24196,-5.48
123.58637,9,6,12,34,6,1.7213608,0.50965887,10,3,14.356114,15.740384,9,18,3.3242126,28.12281,13.171695,5.1026716,5.1026716,-7.9267116,10.69818,0,14,14,1,0,12.253747,11.496729,3,5.2529998,-8.7907104,32,3,21,4,-3.3159902,420.20374,29.207598,20.299505,40.197308,0,0,0,0,34.095455,0,115.49698,115.49698,587.60535,0.63636363,11,0,3.32337,90.053757,34.677017,18.439579,20.399931,18.868406,113.21043,266.60812,3.1243138,124.48247,26.64856,4.7171016,220.29475,49.992279,266.60812,6.8073549,3.8189566,34.095455,10181,-6.39
279.8414,12,8,23,75,15,1.9625424,0.38652945,33,5,29.179895,31.652014,16,33,3.6309395,57.911808,38.939262,13.947854,13.947854,-18.560377,20.542225,0,14,14,1,0,35.42593,34.264622,4,9.8859997,-17.984131,47,3,52,5,-7.9110932,738.93091,36.136734,295.91226,82.15358,32.598614,0,99.268044,0,53.344952,0,372.13184,243.28185,1341.1265,0.94117647,17,0,6.6680398,151.46048,95.493164,55.318733,41.65752,235.11993,245.28928,605.69092,47.255424,161.36162,64.124031,0,441.81473,128.94171,803.07404,7.9188633,4.771348,39.778034,92528,-7
119.10158,6,6,13,32,7,2.0460277,0.40324017,10,3,13.608256,14.742526,6,18,3.2811358,27.909342,13.617006,5.2361755,5.2358351,-7.4021039,9.3322983,-0.003005458,9.5207825,14,1.0206653,0.001794446,14.876033,12.441095,3,4.743,-8.9262896,28,2,21,4,-3.2801487,370.5697,15.808495,28.758026,40.197308,0,0,33.825527,0,28.41288,0,157.20685,109.81441,533.0307,0.63636363,11,0,2.5476699,115.43898,34.677017,18.439579,20.82876,18.868406,113.21043,271.85153,28.509541,107.69694,32.320816,0,202.65158,49.992279,266.60812,6.7279205,3.7812338,28.41288,9274,-5.54
177.54054,0,4,15,44,11,2.0992572,0.34021014,15,6,17.840454,18.30711,8,26,3.3968079,38.65918,28.71524,6.2826834,6.2826834,-10.097186,10.134523,0,14,14,1,0,22.016529,21.438093,2,3.7119999,-10.15204,38,2,33,3,-5.8281431,517.61194,15.808495,179.51395,94.195419,0,0,0,0,22.730305,2.503756,160.90327,160.90327,936.62512,0.73333335,15,0,2.4356999,72.042999,71.333717,131.56372,13.232388,65.794373,207.55246,399.91217,18.745884,85.275391,38.324398,0,207.55246,184.15157,465.70654,7.2667866,4.2677259,22.730305,27580,-6.09
163.3994,0,6,16,40,11,2.1566565,0.34444746,16,5,17.258593,17.737865,10,21,3.4092004,38.634003,23.463913,5.8297925,5.8297925,-9.4440908,10.074962,0,14,14,1,0,20.148804,18.719273,3,4.2979999,-10.94635,31,2,29,4,-5.2883267,506.22055,29.408449,74.498474,62.054928,19.649082,0,0,0,34.095455,0,172.26842,172.26842,810.13623,0.75,12,1,1.9198,108.06451,64.447456,36.879158,22.05398,32.897186,169.81564,433.23819,9.372942,130.11848,42.306366,0,169.81564,91.953674,466.13538,7.1699252,4.1547332,34.095455,22212,-7.33
147.12268,6,4,14,38,10,2.0717759,0.37802547,9,4,13.88737,15.225217,7,20,3.3190856,34.370499,25.306866,4.1227765,4.1227765,-8.0208502,11.172981,0,14,14,1,0,18.692921,16.266676,2,1.125,-6.2746902,36,2,28,3,-5.0118546,287.11017,31.616989,212.30486,57.315197,39.298164,0,81.251015,0,30.614649,2.503756,222.90479,141.65378,705.34253,0.53846157,13,0,1.08117,79.41748,57.691837,76.244995,7.5963712,150.45715,132.07884,233.2821,41.006798,58.443047,33.546036,0,239.16316,118.31526,364.87085,7.044394,4.0586457,17.047728,17560,-4.82
144.27669,6,3,10,41,7,1.5696791,0.47526348,10,3,16.931849,18.066118,6,20,3.5016186,25.319643,18.539022,8.8333645,8.8330355,-10.202988,9.3329449,-0.003000034,9.5215693,14,1.0206331,0.001791203,14.25,14.256404,3,6.9980001,-11.49556,40,4,25,4,-3.5295677,411.02087,15.808495,130.45641,40.197308,0,0,33.825527,0,11.365152,0,140.15913,92.766678,675.18024,0.81818181,11,0,5.4228702,61.406727,44.049957,18.439579,20.82876,117.55997,301.8945,138.54749,37.882481,53.664684,32.320816,0,391.33563,49.992279,231.99562,7,3.8803699,11.365152,13775,-7.13
136.32951,6,2,9,38,7,1.7396457,0.4687323,14,6,15.408539,16.657068,4,18,3.3668792,24.612982,19.607622,6.7858868,6.7858868,-8.9394283,9.1456842,0,14,14,1,0,16.007843,15.076966,2,5.2820001,-9.0246296,34,3,27,3,-3.7005219,325.35275,31.616989,125.31497,67.397217,0,0,81.251015,0,11.365152,2.503756,176.52144,95.270432,627.37915,0.63636363,11,0,4.31917,36.0215,44.049957,113.12415,12.007167,51.765594,226.42087,166.63008,12.497255,44.843094,25.582098,0,333.50519,144.67685,199.52727,6.9068904,3.8756843,11.365152,12507,-5.48
123.15317,6,2,8,34,6,1.7160544,0.48391947,10,4,13.960945,15.209476,4,18,3.3231561,22.890657,17.886833,6.3344831,6.3344831,-8.3626919,9.1457415,0,14,14,1,0,13.292101,12.541951,2,4.46,-8.3530102,34,3,23,3,-3.3444264,295.94431,15.808495,94.797981,67.397217,0,0,81.251015,0,11.365152,0,174.01768,92.766678,551.6452,0.80000001,10,0,3.5239699,36.0215,44.049957,92.197891,12.007167,51.765594,207.55246,133.30406,12.497255,44.843094,19.113449,0,314.63678,123.7506,166.20125,6.7813597,3.768425,11.365152,9656,-5.08
